Generating synthetic data...
Initializing...
Starting gradient descent...
10 tensor(0.6931, dtype=torch.float64, grad_fn=<MeanBackward0>) 1.5442932874978716
840 tensor(0.3217, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.06034657628223617
850 tensor(0.3217, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.0593256766632975
860 tensor(0.3217, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.058328809666226174
870 tensor(0.3217, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.05735534544348712
880 tensor(0.3217, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.05640467857441923
890 tensor(0.3217, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.0554762260184619
900 tensor(0.3217, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.054569425318312145
910 tensor(0.3217, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.053683733019903486
920 tensor(0.3217, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.05281862328060333
930 tensor(0.3217, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.05197358664091466
940 tensor(0.3217, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.05114812893832076
950 tensor(0.3217, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.0503417703448031
960 tensor(0.3217, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.04955404451205743
970 tensor(0.3217, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.0487844978105828
980 tensor(0.3217, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.048032688650672145
990 tensor(0.3217, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.047298186874936476
1000 tensor(0.3217, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.04658057321337135
